element,name,desc,tooltip,type,value,restrict,multiple,example1,example2,example3,example4
3D,3D_2,Timing of standards,Will the calibration standards be extracted during the sample preparation step?,textarea,enter text,NA,NA,Spiked QC samples and the spiked standard will be extracted during the sample prep step,,,extrainformation
3D,3D_3,Calibration compounds,What chemical identities and concentrations will be used in the calibration compounds? Will there be more than one standard with differing chemical identities and concentrations?,textarea,enter text,NA,NA,Concentration levels will be over 2 orders of magnitude with the lowest level being near the expected LOD for all chemicals  (estimated 0.01 ug/g),,,extrainformation
3D,3D_4,Internal standards,Will internal standards be used in the samples and the calibration standards? At what point will the internal standards be added to the calibration standards?,textarea,enter text,NA,NA,A single internal standard (13C labeled caffeine) will be spiked into all materials for normalization.,,,extrainformation
3D,3D_5,Matched compounds in sample,Will the calibration standards have spiked compounds in common with studied samples?,textarea,enter text,NA,NA,The calibration standards will consist of 250 generally observed pesticides and drugs and may be the compound of interest.,,,extrainformation
3E,3E_1,Performance metrics,What performance or quality control metrics will you evaluate using the spiked QC solutions?,textarea,enter text,NA,NA,"True positive and false negative identification in the spiked matrix QC solution at the lowest concentration. Retention time, IS normalized peak area, MS1 isotopic pattern, and MS2 fragmentation pattern variability of the spiked compounds in the matrix and in solution.",,,extrainformation
3E,3E_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,"TP = (Positive IDs) / (Total compounds spiked in sample)
FN = ((Total compounds) - (Positive IDS)) / (Total compounds)",,,extrainformation
3E,3E_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,"FP must be 80 % or greater, FN must be 20 % or less. RT must be within 0.2 min, IS-normalized peak area must be within 50 %, MS1 pattern must be greater than 0.8 with expected, and MS2 pattern must be greater than 0.5 from expected.",,,extrainformation
3F,3F_1,Performance metrics,What performance or quality control metrics will you evaluate using the QC samples?,textarea,enter text,NA,NA,Matrix samples will be used for QC spike method only. (see 3E),,,extrainformation
3F,3F_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,Matrix samples will be used for QC spike method only. (see 3E),,,extrainformation
3F,3F_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,Matrix samples will be used for QC spike method only. (see 3E),,,extrainformation
3G,3G_1,Performance metrics,What performance or quality control metrics will you evaluate using the  blanks?,textarea,enter text,NA,NA,Reproducibility of the peak area and number of identified compounds in each blank types.,,,extrainformation
3G,3G_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,"For each ID'd compound in the blank, the RSD (%) of the IS-normalized peak areas between replicate analyses will be calculated.
The mean and RSD (%) of the number of ID'd compound in each type of blank will be calculated.",,,extrainformation
3G,3G_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,"The RSD (%) of the IS-normalized peak areas must be within 50 % to be considered as present.
The RSD (%) of the ID'd compound count must be less than or equal to 30 %.",,,extrainformation
3G,3G_4,Background removal,How will the blanks be used to remove background compounds?  Will they be raw data subtraction or feature removal?,textarea,enter text,NA,NA,Feature removal - features identified in the sample must have peak area less than 10x the blank signals will be removed.,,,extrainformation
3H,3H_1,Performance metrics,What performance or quality control metrics will you evaluate using the calibrants?,textarea,enter text,NA,NA,"Linearity of the QC Spiked samples at the 3 concentration levels, and reproducibility of the IS-normalized peak areas of calibration chemicals.",,,extrainformation
3H,3H_2,Metric calculations,What are the exact calculations that you will use to calculate the performance?,textarea,enter text,NA,NA,"RSD (%) of the IS-normalized area counts of all peaks, Correlation coefficient of of the 3-point calibration curve",,,extrainformation
3H,3H_3,Metric boundaries,"What are the expected ranges of the performance metrics? What metric values will be deemed ""good""? ",textarea,enter text,NA,NA,Normalized area counts of all peaks must be less than or equal to 50 %. Correlation coefficient must be at least 0.9 or better for all compounds.,,,extrainformation
3H,3H_4,Quantitative calibration,How will you measure accuracy and precision of your quantitative calibration standards?,textarea,enter text,NA,NA,Reproducibility of the replicate analysis of QC spikes will be used to determine precidence,,,extrainformation
4A,4A_1,Source of sample preparation method,Do you have a citable source for your sample preparation method? Has it been peer-reviewed or otherwise validated for a non-targeted or targeted method?,list,Yes;No;Maybe,NA,FALSE,No,,,extrainformation
4A,4A_2,Sample extraction solvent,What solvent(s) will be used to extract the sample?,textarea,enter text,NA,NA,LC-MS Grade Methanol,,,extrainformation
4A,4A_3,Sample extraction technique,What extraction techniques will be used to extract the sample?,textarea,enter text,NA,NA,"Ultrasonication, centrifugation and removal of supernatant.",,,extrainformation
4A,4A_4,Extracted sample clean-up,Will the sample need to be cleaned up to reduce matrix issues? How will the sample be cleaned up? Will it be chemical (SPE) or physical (filtering) clean-up?,textarea,enter text,NA,NA,Filtration with 0.2 um nylon filter,,,extrainformation
4A,4A_5,Sample extract hold time and preservation,How long will the sample be held prior to analysis? Will all compounds be stable within the sample extract for this designated amount of time? Will additional chemical (Sodium Azide) or treatment (freezing) steps be used to preserve the sample integrity?,textarea,enter text,NA,NA,1 week maximum,,,extrainformation
4A,4A_6,Reporting format,"How will you report your sample preparation method? Have you planned/reported all relevant information with respect to how samples are processed/extracted and spiked? Report preparation, extraction, clean-up methods; analytical standard/internal standard/surrogate spiking details. Consider whether any of these steps require additional QA/QC (for example, preparing additional method blanks, matrix spikes, etc.)",textarea,enter text,NA,NA,Sample preparation method will be included in final results report as an Appendix. Results for QC sample performance will be included in the Appendix and be incorporated into results communication.,,,extrainformation
4A,4A_7,Method optimization,"If some of the above variables are unknown or need to be optimized for the method, you should determine the parameters and their variables and how to determine optimal method performance.",textarea,enter text,NA,NA,Method will not need optmization,,,extrainformation
4A,4A_8,Internal standards,Will internal standards be added to every sample? When should the internal standards be added to the sample during the method?,textarea,enter text,NA,NA,"13C-labeled caffeine will be spiked into all samples, blanks, and QCs",,,extrainformation
4B,4B_1,Randomization,Will the samples in the sequence be randomly assigned in the analytical sequence?,list,Yes;No;Maybe,NA,FALSE,Yes,,,extrainformation
4B,4B_2,System suitability,When and how frequently will system suitability be evaluated within an analytical sequence?,textarea,enter text,NA,NA,System suitability will be evaluated before and after each analytical sequence.,,,extrainformation
4B,4B_3,Blank frequency,How frequently will blank samples be evaluated within an analytical sequence?,textarea,enter text,NA,NA,Blank samples will occur every 1/4 of the sequence. (4 times total),,,extrainformation
4B,4B_4,QC frequency,How frequently will QC spikes and samples be evaluated within an analytical sequence?,textarea,enter text,NA,NA,QC spike samples will occur every 1/4 of the sequence. (4 times total),,,extrainformation
4B,4B_5,Replication,"How much of the analytical sequence should include replicate analysis of samples, QC spikes and samples, and/or blanks?",textarea,enter text,NA,NA,"Calibrants, QC samples and blanks will occur every 1/4 of the sequence.",,,extrainformation
4C,4C_1,Single vs. Multiple Batch,Will the study be a single batch or multiple batch experiment?,list,single batch;multiple batches,NA,FALSE,Single batch,,,extrainformation
4C,4C_2,Between-batch comparability,How will between-batch effects be determined?,textarea,enter text,NA,NA,Between-batch effects will not be determined.,,,extrainformation
4C,4C_3,"QC spikes, samples, and blanks","Will QC spikes, QC samples, and/or blanks be the same between batches or will new samples be created?",textarea,enter text,NA,NA,"QC spikes, calibrants, and blanks will be processed within a single batch",,,extrainformation
4C,4C_4,Sample overlap,Will one or more study sample be analyzed in more than one batch?,textarea,enter text,NA,NA,One batch only.,,,extrainformation
4D,4D_1,Parameters,What are the operating parameters for the chromatographic method?,textarea,enter text,NA,NA,"MP A: water with 0.1 % Formic Acid
MP B: acetonitrile with 0.1 % Formic Acid
Linear gradient over 10 min, 5 min hold at 95 % B
Column: C18, 2.1 mm ID x 50 mm ID, 1.8 um dp
5 uL injection size",,,extrainformation
4D,4D_2,Parameter optimization,"Are all parameters already set? Or do chromatographic parameters need to be optimized for the study? If so, what specific parameters need to be optimized?",textarea,enter text,NA,NA,No optimization needed,,,extrainformation
4D,4D_3,Chemical space impact,What are the impacts of your parameter selection on your detectable chemical space? How can you modify your method to have a more broad or narrow chemical space?,textarea,enter text,NA,NA,"Chemical space is limited by the extraciton solvent choice (methanol) and chromatography/MS parameters. Therefore the chemical space will be limited to semivolatile and nonvolatile, polar analytes with Kow greater than 0.5 and less than 5, [as determined by the 250 pesticide/drug mix].",,,extrainformation
4E,4E_1,Parameters,What are the operating parameters for the mass spectrometric method?,textarea,enter text,NA,NA,"Q-Orbitrap HRMS
Electrospray ionization
Positive/Negative polarity switching
DD MS2 top 5, 5 s dynamic exclusion for each polarity",,,extrainformation
4E,4E_2,Parameter optimization,"Are all parameters already set? Or do mass spectrometric parameters need to be optimized for the study? If so, what specific parameters need to be optimized?",textarea,enter text,NA,NA,Parameters are set,,,extrainformation
4E,4E_3,Chemical space impact,What are the impacts of your parameter selection on your detectable chemical space? How can you modify your method to have a more broad or narrow chemical space?,textarea,enter text,NA,NA,MS parameters limit the detect to non-volatile and semi-volatile polar compounds.,,,extrainformation
4E,4E_4,Mass spectral data quality,"How will your MS experiments (MS, MS2, AIF, DDA, DIA, SWATH, etc.) affect the quality of your mass spectral data? Will the data require deconvolution or other ""clean up"" to analyze?",textarea,enter text,NA,NA,DD-MS2 top 5 with dynamic exclusion will limit the number of compounds at low concentrations that will produce any MS2 mass spectra. But no clean up data step will be required.,,,extrainformation
4F,4F_1,Standards used,"Will the QC spikes, samples, or calibration standards be used to determine instrument is calibrated and operating properly?",textarea,enter text,NA,NA,A methanolic solution of the 250 pesticide/drug mix will be used to evaluate system suitability (spiked with the IS). Concentration will be at the mid-level of the calibration curve.,,,extrainformation
4F,4F_2,MS calibration protocol,What is the general protocol for calibrating the mass spectrometer's mass accuracy and resolution? How often does the MS need to be calibrated?,textarea,enter text,NA,NA,MS must be calibrated within a week before the last sample of the sequence. Using a commercial tune solution recommended by the manufacturer.,,,extrainformation
4F,4F_3,MS calibration boundaries,What are the acceptable operating boundaries of the mass spectrometer's mass accuracy and resolution?,textarea,enter text,NA,NA,"Mass accuracy must be less than 5 ppm
Resolution must be 70K",,,extrainformation
4F,4F_4,MS system suitability protocol,What is the general protocol for evaluating the instrument's system performance? How often is the system suitability checked?,textarea,enter text,NA,NA,"Variability of retention time, IS-normalized peak area, MS1 isotopic pattern, and MS2 fragmentation pattern. ",,,extrainformation
4F,4F_5,MS system suitability boundaries,What are the acceptable operating boundaries of the insturment's performance.,textarea,enter text,NA,NA,"Retention time: 0.1 min, IS-normalized peak area RSD of less than 30 %, MS1 isotopic pattern match score greater than 0.9, and MS2 fragmentation pattern match score of greater than 0.7.",,,extrainformation
5A,5A_1,Software Validation,How will the performance of the software be validated for your study?,textarea,enter text,NA,NA,System suitability and QC spikes will be analyzed via the software to determine validation of the software parameters.,,,extrainformation
5A,5A_2,Software steps,What are the individual data processing steps that will require a software? How many different software will you have to use? ,textarea,enter text,NA,NA,"Peak picking, feature alignment, and library searching will be performed using Compound Discoverer.",,,extrainformation
5A,5A_3,Open source,"Is the underlying code openly available? Or is the software a ""black box"" that does not have available code?",textarea,enter text,NA,NA,No open source software will be used.,,,extrainformation
5A,5A_4,Version,Is the software the most up-to-date version? How will different versions of the same software be handled?,textarea,enter text,NA,NA,Only the current version of the software will be used for the single batch analysis.,,,extrainformation
5A,5A_5,Test data set,Do you have a test data set available to perform software validation? Can the test data set be available for training new users?,textarea,enter text,NA,NA,Apple sauce spiked with the QC spike was analyzed previously and will be used for training.,,,extrainformation
5A,5A_6,Manual processing or review,"At any step of the data processing workflow, will a user need to perform manual processing to reduce or analyze the data? Will the data resulting from any software processing step be manually reviewed? Can any process be automated to reduce user intervention?",textarea,enter text,NA,NA,Manual inspection of the peak area integration and match quality will be verified for all compound with positive ID's in the unknown sample. Background feature removal will be done manually.,,,extrainformation
5B,5B_1,Data conversion,Will the data need to be converted to a different format to be used? Are there parameters that need to be selected for data conversion?,textarea,enter text,NA,NA,Data will be maintained in the Raw Thermo data format.,,,extrainformation
5B,5B_2,Data reduction,Will the data be changed to reduce the quantity in order to make the data easier to process? How will the data be reduced?,textarea,enter text,NA,NA,Data will not be reduced prior to analysis.,,,extrainformation
5B,5B_3,Background subtraction,Will background subtraction be employed on the sample data? What blank sample(s) will be used for background subtraction?,textarea,enter text,NA,NA,Background subtraction will occur manually.,,,extrainformation
5B,5B_4,Software,"What software will be used for data conversion, reduction, and/or background subtraction?",textarea,enter text,NA,NA,No additional software will be used.,,,extrainformation
5C,5C_1,Statistics/Chemometrics use,"Will you use a statistical or chemometric approach to analyze, reduce, or compare data?",textarea,enter text,NA,NA,Statistical calculations will be performed using Microsoft Excel using exported data tables from Compound Discoverer.,,,extrainformation
5C,5C_2,Equations/algorithms,Are the equations or algorithms for the statistical or chemometric approach publicly available? Have the approaches been validated for the study's use by peer reviewed literature?,textarea,enter text,NA,NA,Equations will be provided in the Appendix of the results report.,,,extrainformation
5C,5C_3,Significance,How will statistical ignificance of the data be determined?,textarea,enter text,NA,NA,Statistical significant is not determined.,,,extrainformation
5C,5C_4,"QC spikes, QC samples, and blanks","How will QC spikes, QC samples, and blank samples be used in the statistical or chemometric approach?",textarea,enter text,NA,NA,See Section 3 for background and method performance calculations,,,extrainformation
5C,5C_5,Performance metrics and boundaries,What performance metrics will be determined with the statistical or chemometric approach? What are the accepted boundaries for these performance metrics?,textarea,enter text,NA,NA,See Section 3 for background and method performance calculations,,,extrainformation
5D,5D_1,Blank processing,How will blank samples be dealt with? Will different processing steps occur for different types of blank samples?,textarea,enter text,NA,NA,Blank will be processed in parallel with samples.,,,extrainformation
5D,5D_2,Statistical significance,How will statistical significance in blank samples be determined?,textarea,enter text,NA,NA,Statistical significance of signal is shown in Section 3,,,extrainformation
5D,5D_3,Software,How will blank processing step be performed? Will it be manually performed by the user or using a software?,textarea,enter text,NA,NA,Blank processing will be performed manually.,,,extrainformation
5E,5E_1,Workflow,What is the general workflow for chemicals to be annotated or identified in samples?,textarea,enter text,NA,NA,Submit feature MS2 data to NIST MS Search program and select compound with highest match score.,,,extrainformation
5E,5E_2,Software,What software(s) will be used to perform annotation and/or identification of chemicals in your samples?,textarea,enter text,NA,NA,Compound Discoverer,,,extrainformation
5E,5E_3,Test data set,Do you have or can you create a data set that can be used to evaluate the performance of your annotation and/or identification workflow?,textarea,enter text,NA,NA,Pesticides/drugs spiked in applesauce data file.,,,extrainformation
5E,5E_4,Library/database,Will a mass spectral library or database be used to annotate or identify chemicals in your samples? How was the library/database created? What is the data quality of the library/database?,textarea,enter text,NA,NA,NIST20 library will be used for identification.,,,extrainformation
5E,5E_5,Identification confidence,How will annotation/identification confidence be communicated? How will evidence of annotation/identification be concisely communicated?,textarea,enter text,NA,NA,"Identification will use the Schymanski scale, Level 1 or 2a will be the only reported identifications",,,extrainformation
5E,5E_6,Standards comparison,Do you intend on using analytical standards to validate the identity of chemicals? Can you purchase analytical standards for this purpose? What level of identification confidence is needed to justify purchasing an analytical standard?,textarea,enter text,NA,NA,Chemical standards included in the QC spike have been verified previously for identity and can be used to provide level 1 identification with RT match and mass spectral match.,,,extrainformation
5E,5E_7,Mass spectral data handling,How will mass spectral data be handled? Will the data be exported from a software and imported into another software? Can the MS data be shared with other laboratories?,textarea,enter text,NA,NA,"Data will be stored on a secondary storage device with redundant backup. Due to potentially legal nature of the data, it will not be publicly available.",,,extrainformation
5F,5F_1,Concurrent vs. retrospective analysis,"Will qNTA be performed concurrent with NTA workflow or will it occur retrospectively? Or both? If retrospective, what considerations must be included to make the data usable?",textarea,enter text,NA,NA,qNTA will not be performed.,,,extrainformation
5F,5F_2,Workflow,What is the general workflow for chemicals to be quantified in samples?,textarea,enter text,NA,NA,qNTA will not be performed.,,,extrainformation
5F,5F_3,Software,What software(s) will be used to perform quantification of chemicals in your samples?,textarea,enter text,NA,NA,qNTA will not be performed.,,,extrainformation
5F,5F_4,Test data set,Do you have or can you create a data set that can be used to evaluate the performance of your qNTA workflow?,textarea,enter text,NA,NA,qNTA will not be performed.,,,extrainformation
5F,5F_5,Performance metrics,"What performance metrics will be calculated for the quantitative aspect of the study? What standards, QC spikes and samples, or blanks will be part of these metrics? What are the acceptable boundaries for these metrics?",textarea,enter text,NA,NA,qNTA will not be performed.,,,extrainformation
5G,5G_1,Types of data,What type(s) of data will be generated? Which type(s) of data need to be stored for future use?,textarea,enter text,NA,NA,"Raw data files, NIST MS Seach result files, and Excel spreadsheets. All data will be stored for future use.",,,extrainformation
5G,5G_2,Data chain of custody,How will control of the data be maintained? Will there be an automated tracking system (such as LIMS) to track changes to the data itself?,textarea,enter text,NA,NA,Data is tracked through Chain of Custody paperwork and internal reports.,,,extrainformation
5G,5G_3,Data storage,How will the generated data be stored? Electronically or on paper? Will it be password protected?,textarea,enter text,NA,NA,Data is stored on server and locked as read-only.,,,extrainformation
5G,5G_4,Data backup,Will the stored data be backed up? How frequently and how many iterations of backup are required?,textarea,enter text,NA,NA,Data server is backed up once a day.,,,extrainformation
5G,5G_5,Data sharing,Will the data be shared with collaborating labs? Will the data be shared with the general public? How will the data be shared? How will changes to the data be reported (version control)?,textarea,enter text,NA,NA,Data will not be shared with collaborating labs due to sensitive nature of the results.,,,extrainformation
6A,6A_1,Accuracy,How will the accuracy of the sample preparation method be evaluated? ,textarea,enter text,NA,NA,The TPR of the spiked matrix sample will be used to determine accuracy.,,,extrainformation
6A,6A_2,Precision,How will the precision of the sample preparation method be evaluated?,textarea,enter text,NA,NA,The variability (% RSD) of the TPR of the replicate preparation of the spiked matrix sample will be used to determine precision.,,,extrainformation
6B,6B_1,Accuracy,What are the acceptable boundaries for the accuracy metrics of the sample preparation method?,textarea,enter text,NA,NA,The TPR of the spiked matrix sample will be used to determine accuracy.,,,extrainformation
6B,6B_2,Precision,What are the acceptable boundaries for the precision metrics of the sample preparation method?,textarea,enter text,NA,NA,The variability (% RSD) of the TPR of the replicate preparation of the spiked matrix sample will be used to determine precision.,,,extrainformation
6C,6C_1,Accuracy,What are the acceptable boundaries for the accuracy metrics of the data acquisition method?,textarea,enter text,NA,NA,TPR must be above 80 %,,,extrainformation
6C,6C_2,Precision,What are the acceptable boundaries for the precision metrics of the data acquisition method?,textarea,enter text,NA,NA,RSD (%) of TPR must be less than or equal to 20 %.,,,extrainformation
6D,6D_1,Accuracy,What are the acceptable boundaries for the accuracy metrics of the data acquisition method?,textarea,enter text,NA,NA,TPR must be above 80 %,,,extrainformation
6D,6D_2,Precision,What are the acceptable boundaries for the precision metrics of the data acquisition method?,textarea,enter text,NA,NA,RSD (%) of TPR must be less than or equal to 20 %.,,,extrainformation
6E,6E_1,Standards,"What QC spikes, QC samples, blanks, and/or calibration standards will be used for the determination of the chemical space?",textarea,enter text,NA,NA,Drug/pesticide mix will be used to determine the chemical space of the analysis,,,extrainformation
6E,6E_2,Frequency,How often will the chemical space of the method be determined?,textarea,enter text,NA,NA,Chemical space will be determined at the beginning of every batch.,,,extrainformation
6E,6E_3,Software/Tools,How will the chemical space of the method be determined?,textarea,enter text,NA,NA,"Chemical space will be determined using calculated Kow, pKa, and molecular weight using EPA's Chemicals Dashboard.",,,extrainformation
6F,6F_1,Standards,"What QC spikes, QC samples, blanks, and/or calibration standards will be used for standardization, normalization, or other applications?",textarea,enter text,NA,NA,The pesticide/drug mixture and the spiked matrix samples will be used for standardization and normalization.,,,extrainformation
6F,6F_2,Frequency,How often will the standards be analyzed?,textarea,enter text,NA,NA,Standards will be analyzed within every batch,,,extrainformation
6F,6F_3,Software/Tools,What software will be used to analyze the standards?,textarea,enter text,NA,NA,Standards results will be calculated using Microsoft Excel algorithms.,,,extrainformation
